premise,hypothesis,label
"['comments', 'considered', 'formulating', 'interim', 'rules']","['rules', 'developed', 'interim', 'put', 'together', 'comments', 'mind']",0
"['issues', 'wrestle', 'practice', 'groups', 'law', 'firms', 'said']","['practice', 'groups', 'permitted', 'work', 'issues']",2
"['know', 'cant', 'really', 'defend', 'like', 'somebody', 'grown', 'uh', 'say', 'age', 'know', 'yeah']","['cant', 'defend', 'age']",0
"['cockpit', 'country', 'st', 'anns', 'bay']","['st', 'anns', 'bay', 'cockpit', 'country']",2
"['look', 'skin', 'youre', 'going', 'trouble', 'dont', 'get', 'busy']","['boss', 'fire', 'sees', 'slacking']",1
"['people', 'knew', 'fatally', 'easy', 'poison', 'one', 'mistake', 'wouldnt', 'joke']","['many', 'people', 'poisoned', 'someone', 'mistake']",1
"['little', 'corner', 'world', 'policy', 'wonking', 'example']","['example', 'policy', 'wonking']",0
"['life', 'prison', 'hes', 'available', 'parole', 'life', 'day', 'hes', 'eligible', 'parole', 'know', 'lets', 'quit', 'bsing', 'system']","['system', 'corrupt', 'wont', 'able', 'get', 'parole', 'life', 'day']",1
"['streets', 'crammed', 'vendors', 'selling', 'shrine', 'offerings', 'sweets', 'curds', 'coconut', 'well', 'garlands', 'holy', 'images']","['vendors', 'lined', 'streets', 'torches', 'fires']",2
"['north', 'mytilini', 'stop', 'village', 'moria', 'find', 'remains', 'huge', 'roman', 'aqueduct', 'surrounded', 'grazing', 'goats']","['nothing', 'special', 'see', 'village', 'moria']",2
"['increased', 'saving', 'current', 'generations', 'would', 'expand', 'nations', 'capital', 'stock', 'allowing', 'future', 'generations', 'better', 'afford', 'nations', 'retirement', 'costs', 'also', 'enjoying', 'higher', 'standards', 'living']","['current', 'generations', 'increased', 'saving', 'would', 'expand', 'nations', 'capital', 'stock', 'allowing', 'future', 'generations', 'easily', 'afford', 'nations', 'retirement', 'costs', 'also', 'enjoying', 'higher', 'standards', 'living']",0
['beginning'],"['great', 'journey', 'begin']",1
