id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,comments considered formulating interim rules.,rules developed interim put together comments mind.,en,English,0
5b72532a0b,"issues wrestle practice groups law firms, said.",Practice groups permitted work issues.,en,English,2
5622f0c60b,know can't really defend like somebody grown uh say age know yeah,can't defend age.,en,English,0
fdcd1bd867,Cockpit Country St. Ann's Bay,St. Ann's Bay Cockpit Country.,en,English,2
7cfb3d272c,"Look, skin, going trouble get busy.",boss fire sees slacking off.,en,English,1
dd4f0d9f25,"""If people knew fatally easy poison one mistake, joke it.",Many people poisoned someone mistake.,en,English,1
0a3f52c547,"little corner world, policy wonking, example.",example policy wonking.,en,English,0
4b0eca3ccb,life prison he's available parole life day he's eligible parole know let's quit BSing system,system corrupt able get parole life day.,en,English,1
cad235551c,"streets crammed vendors selling shrine offerings sweets, curds, coconut, well garlands holy images.",Vendors lined streets torches fires.,en,English,2
d8b3a4fb06,"North Mytilini, stop village Moria, find remains huge Roman aqueduct surrounded grazing goats.",nothing special see village Moria.,en,English,2
ad5a79456e,"Increased saving current generations would expand nation's capital stock, allowing future generations better afford nation's retirement costs also enjoying higher standards living.","Current generations' increased saving would expand nation's capital stock, allowing future generations easily afford nation's retirement costs also enjoying higher standards living.",en,English,0
a7b0b9498c,"beginning!""",great journey begin!,en,English,1
17c1f14619,"Britain's best-selling tabloid, Sun , announced front-page world exclusive Friday Texan model Jerry Hall started divorce proceedings aging rock star Mick Jagger High Court London.",Sun makes millions every year fake news.,en,English,1
f5f4dc48c1,Savonarola burned Florence,Florence became Savonarola's new home.,en,English,2
6a98a077a5,"COLOSSAL!""",gigantic.,en,English,0
655cc51991,says men here.,said men here.,en,English,2
14fa262750,"almost midtown Massabielle quarter (faubourg de Massabielle), sometimes described picturesque city.",Massabielle quarter considered photogenic.,en,English,0
7e89da4ba3,4) enough known nontransportation costs vary distance.,ways distance affects nontransportation costs subject enough information on.,en,English,0
6bb2d551f1,surprised though many politics,surprised many politics here.,en,English,2
1589ccaac1,draft treaty Tommy's bait.,treaty bait Tommy.,en,English,2
8289cdfc7d,"Therefore, number boilermakers may actually grow quickly assumed.",number boil makers decrease drastically expected.,en,English,2
80001fec89,"long Assad lives, manage troubles keep agreement Israel.",long Assad die able take care troubles.,en,English,0
d999bfa2a1,four Javis children? asked Severn.,Severn knows everything Jarvis children.,en,English,1
d4dd5ba80d,brain refusing command properly.,brain commanding properly.,en,English,0
ad4b9214af,"""So girl writes little farewell activity fare well, eh?"" chortled.",farewell activity go well.,en,English,0
097b4dfe2a,walk it).,need pass foot.,en,English,0
b0c2761b43,"No, exclaimed, astonished.","""No!"" cried shock.",en,English,0
37c01740c6,"Bauerstein Styles fatal night, added: ""He said twice: 'That alters everything.' I've thinking.",Styles responsible happened.,en,English,1
3d3149ec45,"Long ago--or away, whatever--there world called Thar?? another called Erath.",Erath world ever existed.,en,English,2
6c12f1e611,"Then, time, spill vase Mrs. Inglethorp's bedroom, noses? cried.","hidden another country, impossible us locate?",en,English,2
71bcd59dd6,' gets little obsessive sauce.,sauce complicated obsessed perfecting ingredient.,en,English,1
aab0894630,"Rather, kids today little bundles joy also perhaps ultimate symbols worldly success status.","kids today symbols success status, parents too.",en,English,1
7ca8ba219d,China's civil war sent distressing echoes Hong Kong.,Japan fought civil war.,en,English,2
e390988e6f,"seven grants flow new Nonprofit Capacity Building program foundation, part trend among philanthropists give money help organizations grow stronger, rather program services provide.","grants flow Nonprofit Capacity Building program foundation, exemplifying trend among philanthropists give money grow organizations take over.",en,English,1
9e42108ae0,"Or, eligibility could restricted already pregnant, least sexually active; age 13, age 21; combination thereof.",age consent age 21 well.,en,English,1
4acead92d8,"respect, bringing Steve Jobs back save Apple like bringing Gen.",Steve Jobs came back Apple.,en,English,0
7b6768c074,somebody home ill tend mean can't make everybody,anything do.,en,English,2
11788e6295,"generation generation (Michiko Kakutani, New York Times ). few, like Pearl K. Bell Wall Street Journal , find surfeit sweetly obedient docility novel say parts perilously edge sentimentality.",complained novel lacked emotions.,en,English,2
75cbac107c,"Hey, problem, fine policy.","worries, good policy.",en,English,0
5b09f9eabb,"m??tro (subway) fastest way move around city, buses, capital big towns, best taking sights.",Taking subway good way experience big city life.,en,English,2
c5c2c039e5,"sure took granted made mistake.""",simply assumed he'd made mistake.,en,English,0
